date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:28	93112/93112	---M--	200	added ('OK')	application/font-woff	etag:%22d14037c0ac9eb6d21f388fcaf3537ff43d122d38%22	https://use.typekit.net/af/bc1d75/0000000000000000000151d2/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/bc1d75/0000000000000000000151d2/27/de265	(from https://use.typekit.net/nci7nxi.css)
11:48:28	210560/210560	---M-Z	200	added ('OK')	font/opentype	etag:W/%22d14037c0ac9eb6d21f388fcaf3537ff43d122d38%22	https://use.typekit.net/af/bc1d75/0000000000000000000151d2/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/bc1d75/0000000000000000000151d2/27/ae265	(from https://use.typekit.net/nci7nxi.css)
11:48:28	70212/70212	---M--	200	added ('OK')	application/font-woff2	etag:%2236ef5fe6cf3f1533005eeb18ef6ce81405543c0c%22	https://use.typekit.net/af/5033af/0000000000000000000151d3/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/5033af/0000000000000000000151d3/27/lfdcc	(from https://use.typekit.net/nci7nxi.css)
11:48:29	94104/94104	---M--	200	added ('OK')	application/font-woff	etag:%2236ef5fe6cf3f1533005eeb18ef6ce81405543c0c%22	https://use.typekit.net/af/5033af/0000000000000000000151d3/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/5033af/0000000000000000000151d3/27/dfdcc	(from https://use.typekit.net/nci7nxi.css)
11:48:29	211436/211436	---M-Z	200	added ('OK')	font/opentype	etag:W/%2236ef5fe6cf3f1533005eeb18ef6ce81405543c0c%22	https://use.typekit.net/af/5033af/0000000000000000000151d3/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/5033af/0000000000000000000151d3/27/afdcc	(from https://use.typekit.net/nci7nxi.css)
11:48:29	59716/59716	---M--	200	added ('OK')	application/font-woff2	etag:%229cadbddb4fd3358802d74cd23608a50b5c58e5a0%22	https://use.typekit.net/af/d3cf65/0000000000000000000151d4/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/d3cf65/0000000000000000000151d4/27/le003	(from https://use.typekit.net/nci7nxi.css)
11:48:29	77464/77464	---M--	200	added ('OK')	application/font-woff	etag:%229cadbddb4fd3358802d74cd23608a50b5c58e5a0%22	https://use.typekit.net/af/d3cf65/0000000000000000000151d4/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/d3cf65/0000000000000000000151d4/27/de003	(from https://use.typekit.net/nci7nxi.css)
11:48:29	180008/180008	---M-Z	200	added ('OK')	font/opentype	etag:W/%229cadbddb4fd3358802d74cd23608a50b5c58e5a0%22	https://use.typekit.net/af/d3cf65/0000000000000000000151d4/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/d3cf65/0000000000000000000151d4/27/ae003	(from https://use.typekit.net/nci7nxi.css)
11:48:30	70248/70248	---M--	200	added ('OK')	application/font-woff2	etag:%226ef51818dccb4a6446a2e3e84f9c19e25a1df58d%22	https://use.typekit.net/af/4bcbda/0000000000000000000151d5/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i5&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/4bcbda/0000000000000000000151d5/27/laf99	(from https://use.typekit.net/nci7nxi.css)
11:48:30	93664/93664	---M--	200	added ('OK')	application/font-woff	etag:%226ef51818dccb4a6446a2e3e84f9c19e25a1df58d%22	https://use.typekit.net/af/4bcbda/0000000000000000000151d5/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i5&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/4bcbda/0000000000000000000151d5/27/daf99	(from https://use.typekit.net/nci7nxi.css)
